"","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Stimulus.Length","Day"
"1","lt13x025","Site1","3xTG-AD","3xTG-AD","Female","4","2",9
"2","lt13x026","Site1","3xTG-AD","3xTG-AD","Female","4","2",3
"3","lt14x028","Site1","3xTG-AD","3xTG-AD","Female","4","2",16
"4","lt17x033","Site1","3xTG-AD","3xTG-AD","Female","4","2",5
"5","lt17x034","Site1","3xTG-AD","3xTG-AD","Female","4","2",5
"6","lt18x035","Site1","3xTG-AD","3xTG-AD","Female","4","2",7
"7","lt21x041","Site1","3xTG-AD","3xTG-AD","Female","4","2",10
"8","lt21x042","Site1","3xTG-AD","3xTG-AD","Female","4","2",6
"9","lt22x043","Site1","3xTG-AD","3xTG-AD","Female","4","2",5
"10","lt22x044","Site1","3xTG-AD","3xTG-AD","Female","4","2",18
"11","gt01x001","Site2","3xTG-AD","3xTG-AD","Female","4","2",3
"12","gt02x003","Site2","3xTG-AD","3xTG-AD","Female","4","2",5
"13","gt02x004","Site2","3xTG-AD","3xTG-AD","Female","4","2",11
"14","gt03x005","Site2","3xTG-AD","3xTG-AD","Female","4","2",16
"15","gt03x006","Site2","3xTG-AD","3xTG-AD","Female","4","2",5
"16","gt04x007","Site2","3xTG-AD","3xTG-AD","Female","4","2",11
"17","gt04x008","Site2","3xTG-AD","3xTG-AD","Female","4","2",6
"18","gt05x009","Site2","3xTG-AD","3xTG-AD","Female","4","2",10
"19","gt05x010","Site2","3xTG-AD","3xTG-AD","Female","4","2",12
"20","gt06x011","Site2","3xTG-AD","3xTG-AD","Female","4","2",11
"21","lt39f078","Site1","5xFAD","5xFAD","Female","4","2",3
"22","lt40f079","Site1","5xFAD","5xFAD","Female","4","2",4
"23","lt40f080","Site1","5xFAD","5xFAD","Female","4","2",3
"24","lt43f085","Site1","5xFAD","5xFAD","Female","4","2",3
"25","lt43f086","Site1","5xFAD","5xFAD","Female","4","2",15
"26","lt44f087","Site1","5xFAD","5xFAD","Female","4","2",3
"27","lt44f088","Site1","5xFAD","5xFAD","Female","4","2",5
"28","lt47f094","Site1","5xFAD","5xFAD","Female","4","2",9
"29","lt48f095","Site1","5xFAD","5xFAD","Female","4","2",5
"30","lt48f096","Site1","5xFAD","5xFAD","Female","4","2",14
"31","gt01f001","Site2","5xFAD","5xFAD","Female","4","2",20
"32","gt01f002","Site2","5xFAD","5xFAD","Female","4","2",12
"33","gt02f003","Site2","5xFAD","5xFAD","Female","4","2",6
"34","gt03f005","Site2","5xFAD","5xFAD","Female","4","2",4
"35","gt04f007","Site2","5xFAD","5xFAD","Female","4","2",9
"36","gt05f008","Site2","5xFAD","5xFAD","Female","4","2",17
"37","gt05f009","Site2","5xFAD","5xFAD","Female","4","2",5
"38","gt06f010","Site2","5xFAD","5xFAD","Female","4","2",3
"39","gt07f011","Site2","5xFAD","5xFAD","Female","4","2",7
"40","gt07f012","Site2","5xFAD","5xFAD","Female","4","2",29
"41","lt187a249","Site1","APP-PS1","APPPS1","Female","4","2",5
"42","lt188a250","Site1","APP-PS1","APPPS1","Female","4","2",3
"43","lt191a253","Site1","APP-PS1","APPPS1","Female","4","2",3
"44","lt195a257","Site1","APP-PS1","APPPS1","Female","4","2",12
"45","lt196a258","Site1","APP-PS1","APPPS1","Female","4","2",3
"46","lt199a261","Site1","APP-PS1","APPPS1","Female","4","2",3
"47","lt200a262","Site1","APP-PS1","APPPS1","Female","4","2",12
"48","lt203a265","Site1","APP-PS1","APPPS1","Female","4","2",3
"49","lt204a266","Site1","APP-PS1","APPPS1","Female","4","2",3
"50","lt207a269","Site1","APP-PS1","APPPS1","Female","4","2",4
"51","lt208a270","Site1","APP-PS1","APPPS1","Female","4","2",6
"52","lt211a273","Site1","APP-PS1","APPPS1","Female","4","2",7
"53","lt212a274","Site1","APP-PS1","APPPS1","Female","4","2",4
"54","gt114a251","Site2","APP-PS1","APPPS1","Female","4","2",14
"55","gt114a252","Site2","APP-PS1","APPPS1","Female","4","2",3
"56","gt115a253","Site2","APP-PS1","APPPS1","Female","4","2",3
"57","gt115a255","Site2","APP-PS1","APPPS1","Female","4","2",3
"58","gt115a256","Site2","APP-PS1","APPPS1","Female","4","2",3
"59","gt116a257","Site2","APP-PS1","APPPS1","Female","4","2",4
"60","gt116a259","Site2","APP-PS1","APPPS1","Female","4","2",8
"61","gt117a262","Site2","APP-PS1","APPPS1","Female","4","2",3
"62","gt117a263","Site2","APP-PS1","APPPS1","Female","4","2",5
