"","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Task","Day"
"1","lt13x025","Site1","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"2","lt13x026","Site1","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"3","lt14x028","Site1","3xTG-AD","3xTG-AD","Female","4","Phase I",4
"4","lt17x033","Site1","3xTG-AD","3xTG-AD","Female","4","Phase I",4
"5","lt17x034","Site1","3xTG-AD","3xTG-AD","Female","4","Phase I",2
"6","lt18x035","Site1","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"7","lt21x041","Site1","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"8","lt21x042","Site1","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"9","lt22x043","Site1","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"10","lt22x044","Site1","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"11","gt01x001","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"12","gt02x003","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"13","gt02x004","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"14","gt03x005","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"15","gt03x006","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"16","gt04x007","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"17","gt04x008","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"18","gt05x009","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"19","gt05x010","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"20","gt06x011","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"21","lt39f078","Site1","5xFAD","5xFAD","Female","4","Phase I",1
"22","lt40f079","Site1","5xFAD","5xFAD","Female","4","Phase I",1
"23","lt40f080","Site1","5xFAD","5xFAD","Female","4","Phase I",1
"24","lt43f085","Site1","5xFAD","5xFAD","Female","4","Phase I",1
"25","lt43f086","Site1","5xFAD","5xFAD","Female","4","Phase I",1
"26","lt44f087","Site1","5xFAD","5xFAD","Female","4","Phase I",1
"27","lt44f088","Site1","5xFAD","5xFAD","Female","4","Phase I",1
"28","lt47f094","Site1","5xFAD","5xFAD","Female","4","Phase I",1
"29","lt48f095","Site1","5xFAD","5xFAD","Female","4","Phase I",1
"30","lt48f096","Site1","5xFAD","5xFAD","Female","4","Phase I",1
"31","gt01f001","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"32","gt01f002","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"33","gt02f003","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"34","gt03f005","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"35","gt04f007","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"36","gt05f008","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"37","gt05f009","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"38","gt06f010","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"39","gt07f011","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"40","gt07f012","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"41","lt187a249","Site1","APP-PS1","APPPS1","Female","4","Phase I",1
"42","lt188a250","Site1","APP-PS1","APPPS1","Female","4","Phase I",1
"43","lt191a253","Site1","APP-PS1","APPPS1","Female","4","Phase I",1
"44","lt195a257","Site1","APP-PS1","APPPS1","Female","4","Phase I",1
"45","lt196a258","Site1","APP-PS1","APPPS1","Female","4","Phase I",1
"46","lt199a261","Site1","APP-PS1","APPPS1","Female","4","Phase I",1
"47","lt200a262","Site1","APP-PS1","APPPS1","Female","4","Phase I",1
"48","lt203a265","Site1","APP-PS1","APPPS1","Female","4","Phase I",1
"49","lt204a266","Site1","APP-PS1","APPPS1","Female","4","Phase I",1
