"","Database","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Stimulus.Length","Date","Day","Max.number.of.trials","Max.schedule.time","Condition","Trials","Accuracy..","Omission..","Premature.Responses...Total","Perseverative.Correct...Total","Reward.Collection.Latency.1","Reward.Collection.Latency.2","Reward.Collection.Latency.3","Reward.Collection.Latency.4","Reward.Collection.Latency.5","Reward.Collection.Latency.6","Reward.Collection.Latency.7","Reward.Collection.Latency.8","Reward.Collection.Latency.9","Reward.Collection.Latenc.10","Reward.Collection.Latency.11","Reward.Collection.Latency.12","Reward.Collection.Latency.13","Reward.Collection.Latency.14","Reward.Collection.Latency.15","Reward.Collection.Latency.16","Reward.Collection.Latency.17","Reward.Collection.Latency.18","Reward.Collection.Latency.19","Reward.Collection.Latency.20","Reward.Collection.Latency.21","Reward.Collection.Latency.22","Reward.Collection.Latency.23","Reward.Collection.Latency.24","Reward.Collection.Latency.25","Reward.Collection.Latency.26","Reward.Collection.Latency.27","Reward.Collection.Latency.28","Reward.Collection.Latency.29","Reward.Collection.Latency.30","Reward.Collection.Latency.31","Reward.Collection.Latency.32","Reward.Collection.Latency.33","Reward.Collection.Latency.34","Reward.Collection.Latency.35","Reward.Collection.Latency.36","Reward.Collection.Latency.37","Reward.Collection.Latency.38","Reward.Collection.Latency.39","Reward.Collection.Latency.40","Reward.Collection.Latency.41","Reward.Collection.Latency.42","Reward.Collection.Latency.43","Reward.Collection.Latency.44","Reward.Collection.Latency.45","Reward.Collection.Latency.46","Reward.Collection.Latency.47","Reward.Collection.Latency.48","Reward.Collection.Latency.49","Reward.Collection.Latency.50","Mean.Reward.Collection.Latency","std.Reward.Collection.Latency","Correct.Response.Latency.1","Correct.Response.Latency.2","Correct.Response.Latency.3","Correct.Response.Latency.4","Correct.Response.Latency.5","Correct.Response.Latency.6","Correct.Response.Latency.7","Correct.Response.Latency.8","Correct.Response.Latency.9","Correct.Response.Latenc.10","Correct.Response.Latency.11","Correct.Response.Latency.12","Correct.Response.Latency.13","Correct.Response.Latency.14","Correct.Response.Latency.15","Correct.Response.Latency.16","Correct.Response.Latency.17","Correct.Response.Latency.18","Correct.Response.Latency.19","Correct.Response.Latency.20","Correct.Response.Latency.21","Correct.Response.Latency.22","Correct.Response.Latency.23","Correct.Response.Latency.24","Correct.Response.Latency.25","Correct.Response.Latency.26","Correct.Response.Latency.27","Correct.Response.Latency.28","Correct.Response.Latency.29","Correct.Response.Latency.30","Correct.Response.Latency.31","Correct.Response.Latency.32","Correct.Response.Latency.33","Correct.Response.Latency.34","Correct.Response.Latency.35","Correct.Response.Latency.36","Correct.Response.Latency.37","Correct.Response.Latency.38","Correct.Response.Latency.39","Correct.Response.Latency.40","Correct.Response.Latency.41","Correct.Response.Latency.42","Correct.Response.Latency.43","Correct.Response.Latency.44","Correct.Response.Latency.45","Correct.Response.Latency.46","Correct.Response.Latency.47","Correct.Response.Latency.48","Correct.Response.Latency.49","Correct.Response.Latency.50","Mean.Correct.Response.Latency","std.Correct.Response.Latency"
"1","LON5C3XTG10MF","lt13x025","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-09-29,NA,NA,3600,1881.0705,50,63.85,40,1.5,2,1.3872176,1.55693045,1.6761267,1.5966625,1.5035759,1.2850494,1.43659895,1.63128615,1.3168351,1.5098195,1.28164375,1.27029175,1.40538085,1.31002385,1.34862075,1.22999205,1.26575095,1.3344307,1.0841185,1.2385061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39247739583333,0.18471917438811,2.04279714,1.380974005,0.809967075,0.894539675,0.947326595,1.122715405,1.55636281,0.72766489,1.14485186,1.09887615,1.385514815,1.15109547,1.62958338,0.887160855,1.62220456,1.498467475,1.08014531,1.503008285,1.16925871,0.81507549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24125893930556,0.454258602670966
"2","LON5C3XTG10MF","lt13x026","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-04,NA,NA,3600,2914.1785,46.5,79.4,32.95,8,14,2.87319785,2.1557498,2.171075,1.4263821,2.7540016,3.7240322,1.6738563,1.52344195,2.48041775,1.57395845,1.6852083,2.3214894,1.7306164,1.26858895,1.69996595,2.40549435,1.8855716,2.3294358,2.1330458,1.1420138,1.2918606,1.5143603,1.56885,1.2702918,1.5733908,0.9762743,1.3440799,1.2873198,1.8276762,1.0523328,1.3247815,1.6778295,1.1885572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92137775555556,0.559146904524462,1.14712226,1.26688614,1.562606425,1.02168237,0.545464865,0.985355885,1.113066185,2.601884435,0.990464295,1.084118515,1.25950732,1.803836985,1.00465433,0.84913157,0.97400386,1.294131005,1.39686684,0.83550914,1.09547054,0.59711659,1.09887615,0.40753775,1.02168237,1.18061074,1.31115904,1.55409241,0.65501192,2.8073561,0.58803496,1.25666932,0.76626178,1.11363378,0.87751164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11392165312724,0.391627169743572
"3","LON5C3XTG10MF","lt14x028","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-24,NA,NA,3600,3600,5,66.7,40,0,0,2.6109661,3.0888864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33794068499671,0.70269043,1.12725622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.914973325,0.300213349168824
"4","LON5C3XTG10MF","lt17x033","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-09-29,NA,NA,3600,3600,13,47.25,41.9,1,3,3.0588035,2.2113747,1.7186968,2.5383131,1.9695766,1.8969236,1.8923828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03787793333333,0.292614117909807,1.441707345,3.07866954,1.55863322,0.79350664,2.17050744,1.65171983,3.7949824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02179589,1.07894963794812
"5","LON5C3XTG10MF","lt17x034","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-04,NA,NA,3600,2023.4155,50,58.1,26,5,9.5,12.2477012,1.9145192,1.3474855,1.60914975,5.0005676,1.4155977,1.8912476,1.6233398,1.95481895,2.2079691,1.4422749,1.52514475,1.3037802,1.22885685,1.99682145,2.8005449,2.1478034,1.32648425,1.4428426,1.5393348,1.2055852,1.2646157,1.0625497,1.8072426,4.0753774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7217045182598,0.624033884889182,2.597911225,1.243614485,1.578499265,2.763650815,1.476898625,1.879895565,4.945510275,1.213531615,1.10739017,1.02508798,1.42638211,0.92121694,1.83221705,1.14768986,1.195368375,0.627199455,1.57225565,1.563174025,0.70496084,1.94346691,2.48495857,1.294131,1.86286752,2.29310932,1.21012601,1.17266432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.69653365465812,1.03655174824863
"6","LON5C3XTG10MF","lt18x035","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-15,NA,NA,3600,2061.7985,50,59.35,23,18.5,7.5,2.2834601,1.6681803,1.6483142,1.4229765,1.8549211,1.2929958,1.43886935,1.73856285,1.14939265,1.23226245,1.26688615,1.464979,1.3531615,1.3355659,1.207288,1.19026,1.36791915,2.00420025,1.62050175,1.8537859,1.3009422,2.2999205,1.1442843,1.6789647,1.5643092,1.6165286,1.1828811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5266871082846,0.454191256050314,2.64672494,1.91054603,1.234532865,1.1635827,1.020547165,1.363945965,1.709047565,1.924736065,0.97911227,1.915086845,1.461573395,1.587013285,1.865137925,1.02679078,1.406516065,1.740265635,1.083550915,0.973436255,1.432625725,1.25439891,1.13860824,1.38494721,0.98535589,1.00692474,0.9910319,0.84686116,0.96832785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48447217617934,0.653189538132311
"7","LON5C3XTG10MF","lt21x041","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-09-29,NA,NA,3600,1535.7395,50,52.95,50,23,2.5,1.09717335,0.9592462,1.042116,0.8661596,1.28504935,1.1295266,1.18401635,1.04892725,1.43319335,1.2549665,1.14939265,0.9342718,2.4543081,1.2532637,1.4053809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13802220811688,0.179962569269194,0.66920195,1.343512315,0.92348734,2.38279033,2.45260529,0.96946305,0.79691225,1.218640025,3.334090135,0.89226927,0.69474401,1.10795777,0.56873652,0.79918265,0.63571347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.876660232916667,0.324477396095681
"8","LON5C3XTG10MF","lt21x042","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-04,NA,NA,3600,1676.2415,50,67.1,34,7,11,1.8089454,1.34691795,1.56828245,1.4292201,1.1516631,1.39629925,1.09660575,1.66874785,1.6795323,1.44511295,1.1278238,1.18061075,1.1669883,1.1635827,1.18742195,1.58360765,1.3554319,1.4326257,1.3327279,0.9864911,1.2078556,1.2634805,1.2033148,1.5086843,1.2237484,1.7595641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3655105017094,0.315495206012703,1.239073675,1.252696105,0.775911,0.774208195,1.343512315,1.52968555,1.103984565,0.823589515,0.7764786,1.109660575,1.144284255,1.165285505,1.11703939,1.28334658,0.89624248,3.47031445,1.342377115,0.89397207,0.92291974,0.80485867,1.95254853,1.45760018,1.07276649,0.65841753,2.10012487,4.33420366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12976434557647,0.418575149718416
"9","LON5C3XTG10MF","lt22x043","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-15,NA,NA,3600,1261.371,50,68.65,33,8.5,5,1.16925875,1.97014415,1.30094225,1.1386082,1.01487115,1.7975934,1.36167555,1.0466568,1.0642525,1.40311045,1.17663755,1.14201385,1.18231355,1.49165625,1.2600749,1.34578275,1.0727665,1.57168805,1.13804065,0.9904643,1.2822114,1.1641503,1.58701325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29008376086957,0.294863685309334,1.35316154,2.110909295,1.329889885,1.75388807,1.497899875,0.63003746,1.35032353,1.26915654,1.3798388,1.114201385,1.0778749,1.6363946,1.90032921,1.78397094,1.622204565,0.967192645,1.32818708,1.00862754,1.19309797,1.149392665,1.18117834,0.89624248,0.69360881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28034367450593,0.490732600792584
"10","LON5C3XTG10MF","lt22x044","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-22,NA,NA,3600,3079.733,48.5,79.6,49.4,7.5,5.5,3.532183,1.2907254,1.24474965,1.1465547,1.5472812,1.1976388,1.29640145,1.23793845,1.3514587,1.3804064,1.3452151,1.26972415,1.4695198,1.7635373,1.84300145,1.24304685,1.2509933,69.1639233,1.20445,1.305483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35838847617647,0.269679397695272,1.87194914,1.461573395,1.10682257,0.859915995,1.18969236,1.076172095,0.618117835,1.87535475,0.964922235,1.17152912,0.863321605,0.95754342,1.41503008,0.92802815,0.923487345,0.933704165,0.6464979,0.902486095,2.74548757,1.48598025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09294786883333,0.473808401984578
