"","Database","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Stimulus.Length","Date","Day","Condition","Trials","Accuracy.Block.1","Accuracy.Block.2","Accuracy.Block.3","Accuracy.Block.4","Accuracy.Block.5","Omission.Block.1","Omission.Block.2","Omission.Block.3","Omission.Block.4","Omission.Block.5"
"1","LON5C3XTG10MF","lt13x025","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-09-29,NA,1881.0705,50,47.245,51.06,56.825,63.255,65.04,57.57545,37.965,37.3644,35.87325,37.6138
"2","LON5C3XTG10MF","lt13x026","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-04,NA,2914.1785,46.5,59.69,83.275,81.565,82.455,79.575,45.64685,38.2522,37.80665,35.6826,33.4019666666667
"3","LON5C3XTG10MF","lt14x028","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-24,NA,3600,5,66.68,NA,NA,NA,NA,49.6666,NA,NA,NA,NA
"4","LON5C3XTG10MF","lt17x033","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-09-29,NA,3600,13,19.34,83.6333333333333,NA,NA,NA,59.1449,47.3288333333333,NA,NA,NA
"5","LON5C3XTG10MF","lt17x034","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-04,NA,2023.4155,50,61.84,49.365,49.49,54.61,56.43,46.7777,36.94045,35.32595,29.23135,26.5283
"6","LON5C3XTG10MF","lt18x035","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-15,NA,2061.7985,50,54.37,61.63,56.275,59.355,58.78,51.13295,26.75095,17.15165,15.3577,20.20225
"7","LON5C3XTG10MF","lt21x041","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-09-29,NA,1535.7395,50,38.685,56.345,59.695,55.885,57.065,53.3333,42.1103,38.96045,49.15915,50.54325
"8","LON5C3XTG10MF","lt21x042","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-04,NA,1676.2415,50,43,66.59,70.66,69.54,69.52,75.004,55.86585,46.02195,37.5884,35.4202
"9","LON5C3XTG10MF","lt22x043","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-15,NA,1261.371,50,19.35,37.16,54.475,61.8,66.325,49.94445,46.23575,38.8741,37.8265,35.36125
"10","LON5C3XTG10MF","lt22x044","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-22,NA,3079.733,48.5,63.16,71.02,75.295,76.35,79,36.78565,41.64,46.30515,46.9729,47.7734928571429
