"","Database","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Stimulus.Length","Date","Day","Condition","Trials","Accuracy.Block.1","Accuracy.Block.2","Accuracy.Block.3","Accuracy.Block.4","Accuracy.Block.5","Omission.Block.1","Omission.Block.2","Omission.Block.3","Omission.Block.4","Omission.Block.5"
"1","LON5C3XTG10MF","lt13x025","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-09-29,NA,1881.0705,50,18.3333333333333,53.5714285714286,77.5,75.7142857142857,58.3333333333333,45,25,35,40,55
"2","LON5C3XTG10MF","lt13x026","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-04,NA,2914.1785,46.5,34.8214285714286,41.6666666666667,65,84.4444444444444,44.4444444444444,25,35,35,30,10
"3","LON5C3XTG10MF","lt14x028","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-24,NA,3600,5,12.5,NA,NA,NA,NA,20,NA,NA,NA,NA
"4","LON5C3XTG10MF","lt17x033","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-09-29,NA,3600,13,44.6428571428571,44.4444444444444,NA,NA,NA,45,10,NA,NA,NA
"5","LON5C3XTG10MF","lt17x034","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-04,NA,2023.4155,50,50,41.4285714285714,59.0277777777778,60,71.5277777777778,40,40,15,20,15
"6","LON5C3XTG10MF","lt18x035","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-15,NA,2061.7985,50,33.9285714285714,60,50,70.1388888888889,62.5,25,0,10,15,50
"7","LON5C3XTG10MF","lt21x041","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-09-29,NA,1535.7395,50,43.75,63.8888888888889,55,50,54.7619047619048,50,25,55,70,50
"8","LON5C3XTG10MF","lt21x042","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-04,NA,1676.2415,50,35,77.7777777777778,76.1904761904762,70.1388888888889,56.25,45,45,20,15,30
"9","LON5C3XTG10MF","lt22x043","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-15,NA,1261.371,50,32.1428571428571,51.4285714285714,72.2222222222222,83.3333333333333,83.3333333333333,25,40,25,45,10
"10","LON5C3XTG10MF","lt22x044","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-22,NA,3079.733,48.5,61.25,90,70,91.6666666666667,62.5,35,55,50,50,50
"11","GUE5C3XTG10MF","gt01x001","Site2","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-13,NA,1097.2045,50,39.5833333333333,65,80,86.6071428571429,76.6666666666667,30,30,15,25,20
"12","GUE5C3XTG10MF","gt02x003","Site2","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-01,NA,3049.1875,50,45.8333333333333,66.6666666666667,69.047619047619,65,60.7142857142857,35,40,50,55,45
"13","GUE5C3XTG10MF","gt02x004","Site2","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-07,NA,2898.462,50,71.4285714285714,63.3333333333333,60.7142857142857,62.5,33.3333333333333,30,45,55,60,70
"14","GUE5C3XTG10MF","gt03x005","Site2","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-07,NA,1102.6615,50,52.7777777777778,58.3333333333333,50,67.4603174603175,71.4285714285714,15,15,30,20,30
"15","GUE5C3XTG10MF","gt03x006","Site2","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-01,NA,1409.974,50,39.5833333333333,83.3333333333333,58.5714285714286,78.75,70.8333333333333,30,10,40,10,30
"16","GUE5C3XTG10MF","gt04x007","Site2","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-27,NA,2511.759,50,22.5,70,58.3333333333333,84.5238095238095,64.2857142857143,55,35,40,35,30
"17","GUE5C3XTG10MF","gt04x008","Site2","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-13,NA,2454.72,50,30.9523809523809,71.4285714285714,58.9285714285714,53.1746031746032,33.3333333333333,50,30,25,20,50
"18","GUE5C3XTG10MF","gt05x009","Site2","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-02,NA,1451.339,50,45.8333333333333,83.3333333333333,94.4444444444444,93.75,85.4166666666667,50,20,25,25,30
"19","GUE5C3XTG10MF","gt05x010","Site2","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-08,NA,1206.939,50,33.3333333333333,67.7777777777778,70.8333333333333,75,60.4166666666667,25,30,15,60,30
"20","GUE5C3XTG10MF","gt06x011","Site2","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-14,NA,1599.366,50,33.3333333333333,64.2857142857143,80.5555555555556,72.2222222222222,61.1111111111111,60,30,25,35,40
"21","LON5C5FAD10MF","lt40f079","Site1","5xFAD","5xFAD","Female","10","0.6",2014-11-24,NA,1699.5595,50,55.5555555555556,64.5833333333333,52.0833333333333,70.8333333333333,60.7142857142857,25,15,30,15,25
"22","LON5C5FAD10MF","lt40f080","Site1","5xFAD","5xFAD","Female","10","0.6",2014-11-27,NA,2173.3865,50,70.8333333333333,56.25,85.4166666666667,73.75,62.5,50,20,30,35,40
"23","LON5C5FAD10MF","lt43f085","Site1","5xFAD","5xFAD","Female","10","0.6",2014-11-05,NA,1108.8105,50,45,66.9642857142857,55,52.6785714285714,52.3809523809524,45,25,20,25,20
"24","LON5C5FAD10MF","lt43f086","Site1","5xFAD","5xFAD","Female","10","0.6",2014-11-15,NA,3600,47.5,12.5,75,50,85.7142857142857,35.7142857142857,60,70,70,50,30
