"","Database","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Stimulus.Length","Date","Day","Condition","Trials","Accuracy.Block.1","Accuracy.Block.2","Accuracy.Block.3","Accuracy.Block.4","Accuracy.Block.5","Omission.Block.1","Omission.Block.2","Omission.Block.3","Omission.Block.4","Omission.Block.5"
"1","LON5C3XTG10MF","lt13x025","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-09-29,NA,1881.0705,50,51.65,53.85,62.3,64.85,63.85,45,35,35,36.25,40
"2","LON5C3XTG10MF","lt13x026","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-04,NA,2914.1785,46.5,78.55,84.6,81.1,81.8,79.4,40,37.5,36.6665,35,32.93
"3","LON5C3XTG10MF","lt14x028","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-24,NA,3600,5,66.7,NA,NA,NA,NA,40,NA,NA,NA,NA
"4","LON5C3XTG10MF","lt17x033","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-09-29,NA,3600,13,45.85,77.8,NA,NA,NA,50,43.75,NA,NA,NA
"5","LON5C3XTG10MF","lt17x034","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-04,NA,2023.4155,50,50,46.5,51.7,54.25,58.1,40,40,31.667,28.75,26
"6","LON5C3XTG10MF","lt18x035","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-15,NA,2061.7985,50,61.45,59.4,55.6,59.3,59.35,40,20,16.6665,16.25,23
"7","LON5C3XTG10MF","lt21x041","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-09-29,NA,1535.7395,50,43.75,58.1,56.05,56.25,52.95,50,37.5,43.3335,50,50
"8","LON5C3XTG10MF","lt21x042","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-04,NA,1676.2415,50,63.35,68.55,72.1,70.3,67.1,60,52.5,41.6665,35,34
"9","LON5C3XTG10MF","lt22x043","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-15,NA,1261.371,50,41.65,46.9,57.9,63.35,68.65,45,42.5,36.667,38.75,33
"10","LON5C3XTG10MF","lt22x044","Site1","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-22,NA,3079.733,48.5,67.5,77.35,75.4,78.65,79.6,35,45,46.6665,47.5,49.4045
"11","GUE5C3XTG10MF","gt01x001","Site2","3xTG-AD","3xTG-AD","Female","10","0.6",2014-10-13,NA,1097.2045,50,83.35,84.45,83.4,84,82.45,30,30,25,25,24
