"","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Task","Day"
"1","gt80x171","Site2","3xTG-AD","3xTG-AD","Female","4","dPAL Acquisition 1",1
"2","gt80x172","Site2","3xTG-AD","3xTG-AD","Female","4","dPAL Acquisition 1",3
"3","gt80x173","Site2","3xTG-AD","3xTG-AD","Female","4","dPAL Acquisition 1",3
"4","gt81x175","Site2","3xTG-AD","3xTG-AD","Female","4","dPAL Acquisition 1",1
"5","gt81x176","Site2","3xTG-AD","3xTG-AD","Female","4","dPAL Acquisition 1",1
"6","gt81x177","Site2","3xTG-AD","3xTG-AD","Female","4","dPAL Acquisition 1",1
"7","gt81x178","Site2","3xTG-AD","3xTG-AD","Female","4","dPAL Acquisition 1",1
"8","gt82x179","Site2","3xTG-AD","3xTG-AD","Female","4","dPAL Acquisition 1",2
"9","gt82x180","Site2","3xTG-AD","3xTG-AD","Female","4","dPAL Acquisition 1",1
"10","gt82x181","Site2","3xTG-AD","3xTG-AD","Female","4","dPAL Acquisition 1",1
"11","gt82x182","Site2","3xTG-AD","3xTG-AD","Female","4","dPAL Acquisition 1",2
"12","gt104f216","Site2","5xFAD","5xFAD","Female","4","dPAL Acquisition 1",1
"13","gt104f217","Site2","5xFAD","5xFAD","Female","4","dPAL Acquisition 1",1
"14","gt104f218","Site2","5xFAD","5xFAD","Female","4","dPAL Acquisition 1",2
"15","gt104f219","Site2","5xFAD","5xFAD","Female","4","dPAL Acquisition 1",1
"16","gt105f220","Site2","5xFAD","5xFAD","Female","4","dPAL Acquisition 1",1
"17","gt105f221","Site2","5xFAD","5xFAD","Female","4","dPAL Acquisition 1",1
"18","gt105f222","Site2","5xFAD","5xFAD","Female","4","dPAL Acquisition 1",1
"19","gt105f223","Site2","5xFAD","5xFAD","Female","4","dPAL Acquisition 1",1
"20","gt106f224","Site2","5xFAD","5xFAD","Female","4","dPAL Acquisition 1",1
"21","gt106f225","Site2","5xFAD","5xFAD","Female","4","dPAL Acquisition 1",1
"22","gt106f226","Site2","5xFAD","5xFAD","Female","4","dPAL Acquisition 1",2
"23","gt106f227","Site2","5xFAD","5xFAD","Female","4","dPAL Acquisition 1",1
"24","gt107f228","Site2","5xFAD","5xFAD","Female","4","dPAL Acquisition 1",2
"25","gt107f229","Site2","5xFAD","5xFAD","Female","4","dPAL Acquisition 1",1
"26","gt107f230","Site2","5xFAD","5xFAD","Female","4","dPAL Acquisition 1",1
"27","gt157a349","Site2","APP-PS1","APPPS1","Female","4","dPAL Acquisition 1",1
"28","gt157a350","Site2","APP-PS1","APPPS1","Female","4","dPAL Acquisition 1",2
"29","gt157a351","Site2","APP-PS1","APPPS1","Female","4","dPAL Acquisition 1",1
"30","gt158a352","Site2","APP-PS1","APPPS1","Female","4","dPAL Acquisition 1",2
"31","gt159a354","Site2","APP-PS1","APPPS1","Female","4","dPAL Acquisition 1",1
"32","gt159a355","Site2","APP-PS1","APPPS1","Female","4","dPAL Acquisition 1",1
"33","gt159a356","Site2","APP-PS1","APPPS1","Female","4","dPAL Acquisition 1",1
"34","gt159a357","Site2","APP-PS1","APPPS1","Female","4","dPAL Acquisition 1",1
"35","gt160a358","Site2","APP-PS1","APPPS1","Female","4","dPAL Acquisition 1",1
"36","gt160a359","Site2","APP-PS1","APPPS1","Female","4","dPAL Acquisition 1",2
"37","gt160a360","Site2","APP-PS1","APPPS1","Female","4","dPAL Acquisition 1",1
"38","gt160a361","Site2","APP-PS1","APPPS1","Female","4","dPAL Acquisition 1",1
"39","gt161a362","Site2","APP-PS1","APPPS1","Female","4","dPAL Acquisition 1",2
"40","gt161a363","Site2","APP-PS1","APPPS1","Female","4","dPAL Acquisition 1",2
"41","gw77x159","Site2","3xTG-AD","B6129SF2/J","Female","4","dPAL Acquisition 1",1
"42","gw77x160","Site2","3xTG-AD","B6129SF2/J","Female","4","dPAL Acquisition 1",1
"43","gw77x161","Site2","3xTG-AD","B6129SF2/J","Female","4","dPAL Acquisition 1",1
"44","gw78x163","Site2","3xTG-AD","B6129SF2/J","Female","4","dPAL Acquisition 1",1
"45","gw78x164","Site2","3xTG-AD","B6129SF2/J","Female","4","dPAL Acquisition 1",1
"46","gw78x165","Site2","3xTG-AD","B6129SF2/J","Female","4","dPAL Acquisition 1",2
"47","gw78x166","Site2","3xTG-AD","B6129SF2/J","Female","4","dPAL Acquisition 1",1
"48","gw79x167","Site2","3xTG-AD","B6129SF2/J","Female","4","dPAL Acquisition 1",1
"49","gw79x168","Site2","3xTG-AD","B6129SF2/J","Female","4","dPAL Acquisition 1",1
"50","gw79x169","Site2","3xTG-AD","B6129SF2/J","Female","4","dPAL Acquisition 1",1
"51","gw79x170","Site2","3xTG-AD","B6129SF2/J","Female","4","dPAL Acquisition 1",1
"52","gw100f200","Site2","5xFAD","B6SJLF1/J","Female","4","dPAL Acquisition 1",2
"53","gw100f202","Site2","5xFAD","B6SJLF1/J","Female","4","dPAL Acquisition 1",1
"54","gw100f203","Site2","5xFAD","B6SJLF1/J","Female","4","dPAL Acquisition 1",2
"55","gw101f204","Site2","5xFAD","B6SJLF1/J","Female","4","dPAL Acquisition 1",1
"56","gw101f205","Site2","5xFAD","B6SJLF1/J","Female","4","dPAL Acquisition 1",1
"57","gw101f206","Site2","5xFAD","B6SJLF1/J","Female","4","dPAL Acquisition 1",1
"58","gw101f207","Site2","5xFAD","B6SJLF1/J","Female","4","dPAL Acquisition 1",1
"59","gw102f208","Site2","5xFAD","B6SJLF1/J","Female","4","dPAL Acquisition 1",1
"60","gw102f209","Site2","5xFAD","B6SJLF1/J","Female","4","dPAL Acquisition 1",1
"61","gw102f210","Site2","5xFAD","B6SJLF1/J","Female","4","dPAL Acquisition 1",1
"62","gw103f213","Site2","5xFAD","B6SJLF1/J","Female","4","dPAL Acquisition 1",1
"63","gw103f214","Site2","5xFAD","B6SJLF1/J","Female","4","dPAL Acquisition 1",2
"64","gw103f215","Site2","5xFAD","B6SJLF1/J","Female","4","dPAL Acquisition 1",2
"65","gw152a332","Site2","APP-PS1","C57BL6","Female","4","dPAL Acquisition 1",2
"66","gw152a334","Site2","APP-PS1","C57BL6","Female","4","dPAL Acquisition 1",2
"67","gw153a336","Site2","APP-PS1","C57BL6","Female","4","dPAL Acquisition 1",1
"68","gw153a337","Site2","APP-PS1","C57BL6","Female","4","dPAL Acquisition 1",1
"69","gw154a338","Site2","APP-PS1","C57BL6","Female","4","dPAL Acquisition 1",1
"70","gw154a339","Site2","APP-PS1","C57BL6","Female","4","dPAL Acquisition 1",1
"71","gw155a343","Site2","APP-PS1","C57BL6","Female","4","dPAL Acquisition 1",3
"72","gw155a344","Site2","APP-PS1","C57BL6","Female","4","dPAL Acquisition 1",1
"73","gw155a345","Site2","APP-PS1","C57BL6","Female","4","dPAL Acquisition 1",1
"74","gw156a346","Site2","APP-PS1","C57BL6","Female","4","dPAL Acquisition 1",1
"75","gw156a347","Site2","APP-PS1","C57BL6","Female","4","dPAL Acquisition 1",1
"76","lt80x142","Site1","3xTG-AD","3xTG-AD","Male","4","dPAL Acquisition 1",1
"77","lt81x143","Site1","3xTG-AD","3xTG-AD","Male","4","dPAL Acquisition 1",1
"78","lt82x144","Site1","3xTG-AD","3xTG-AD","Male","4","dPAL Acquisition 1",1
"79","lt83x145","Site1","3xTG-AD","3xTG-AD","Male","4","dPAL Acquisition 1",1
"80","lt84x146","Site1","3xTG-AD","3xTG-AD","Male","4","dPAL Acquisition 1",1
"81","lt85x147","Site1","3xTG-AD","3xTG-AD","Male","4","dPAL Acquisition 1",1
"82","lt86x148","Site1","3xTG-AD","3xTG-AD","Male","4","dPAL Acquisition 1",1
"83","lt87x149","Site1","3xTG-AD","3xTG-AD","Male","4","dPAL Acquisition 1",1
"84","lt88x150","Site1","3xTG-AD","3xTG-AD","Male","4","dPAL Acquisition 1",1
"85","lt89x151","Site1","3xTG-AD","3xTG-AD","Male","4","dPAL Acquisition 1",1
"86","lt90x152","Site1","3xTG-AD","3xTG-AD","Male","4","dPAL Acquisition 1",1
"87","lt91x153","Site1","3xTG-AD","3xTG-AD","Male","4","dPAL Acquisition 1",1
"88","lt92x154","Site1","3xTG-AD","3xTG-AD","Male","4","dPAL Acquisition 1",1
"89","lt264f326","Site1","5xFAD","5xFAD","Male","4","dPAL Acquisition 1",1
"90","lt265f327","Site1","5xFAD","5xFAD","Male","4","dPAL Acquisition 1",1
"91","lt266f328","Site1","5xFAD","5xFAD","Male","4","dPAL Acquisition 1",1
"92","lt267f329","Site1","5xFAD","5xFAD","Male","4","dPAL Acquisition 1",1
"93","lt268f330","Site1","5xFAD","5xFAD","Male","4","dPAL Acquisition 1",1
"94","lt269f331","Site1","5xFAD","5xFAD","Male","4","dPAL Acquisition 1",1
"95","lt270f332","Site1","5xFAD","5xFAD","Male","4","dPAL Acquisition 1",1
"96","lt271f333","Site1","5xFAD","5xFAD","Male","4","dPAL Acquisition 1",1
"97","lt272f334","Site1","5xFAD","5xFAD","Male","4","dPAL Acquisition 1",1
"98","lt273f335","Site1","5xFAD","5xFAD","Male","4","dPAL Acquisition 1",1
"99","lt274f336","Site1","5xFAD","5xFAD","Male","4","dPAL Acquisition 1",1
"100","lt275f337","Site1","5xFAD","5xFAD","Male","4","dPAL Acquisition 1",1
"101","lt276f338","Site1","5xFAD","5xFAD","Male","4","dPAL Acquisition 1",1
"102","lt277f339","Site1","5xFAD","5xFAD","Male","4","dPAL Acquisition 1",1
"103","lt278f340","Site1","5xFAD","5xFAD","Male","4","dPAL Acquisition 1",1
"104","lt367a429","Site1","APP-PS1","APPPS1","Male","4","dPAL Acquisition 1",1
"105","lt369a431","Site1","APP-PS1","APPPS1","Male","4","dPAL Acquisition 1",1
"106","lt370a432","Site1","APP-PS1","APPPS1","Male","4","dPAL Acquisition 1",1
"107","lt373a435","Site1","APP-PS1","APPPS1","Male","4","dPAL Acquisition 1",1
"108","lt374a436","Site1","APP-PS1","APPPS1","Male","4","dPAL Acquisition 1",1
"109","lt375a437","Site1","APP-PS1","APPPS1","Male","4","dPAL Acquisition 1",1
"110","lt376a438","Site1","APP-PS1","APPPS1","Male","4","dPAL Acquisition 1",1
"111","lt377a439","Site1","APP-PS1","APPPS1","Male","4","dPAL Acquisition 1",1
"112","lw65x127","Site1","3xTG-AD","B6129SF2/J","Male","4","dPAL Acquisition 1",1
"113","lw66x128","Site1","3xTG-AD","B6129SF2/J","Male","4","dPAL Acquisition 1",1
"114","lw67x129","Site1","3xTG-AD","B6129SF2/J","Male","4","dPAL Acquisition 1",1
"115","lw68x130","Site1","3xTG-AD","B6129SF2/J","Male","4","dPAL Acquisition 1",1
"116","lw69x131","Site1","3xTG-AD","B6129SF2/J","Male","4","dPAL Acquisition 1",1
"117","lw70x132","Site1","3xTG-AD","B6129SF2/J","Male","4","dPAL Acquisition 1",1
"118","lw71x133","Site1","3xTG-AD","B6129SF2/J","Male","4","dPAL Acquisition 1",1
"119","lw72x134","Site1","3xTG-AD","B6129SF2/J","Male","4","dPAL Acquisition 1",1
"120","lw73x135","Site1","3xTG-AD","B6129SF2/J","Male","4","dPAL Acquisition 1",1
"121","lw74x136","Site1","3xTG-AD","B6129SF2/J","Male","4","dPAL Acquisition 1",1
"122","lw75x137","Site1","3xTG-AD","B6129SF2/J","Male","4","dPAL Acquisition 1",1
"123","lw76x138","Site1","3xTG-AD","B6129SF2/J","Male","4","dPAL Acquisition 1",1
"124","lw77x139","Site1","3xTG-AD","B6129SF2/J","Male","4","dPAL Acquisition 1",1
"125","lw78x140","Site1","3xTG-AD","B6129SF2/J","Male","4","dPAL Acquisition 1",1
"126","lw248f310","Site1","5xFAD","B6SJLF1/J","Male","4","dPAL Acquisition 1",1
"127","lw249f311","Site1","5xFAD","B6SJLF1/J","Male","4","dPAL Acquisition 1",1
"128","lw250f312","Site1","5xFAD","B6SJLF1/J","Male","4","dPAL Acquisition 1",1
"129","lw251f313","Site1","5xFAD","B6SJLF1/J","Male","4","dPAL Acquisition 1",1
"130","lw253f315","Site1","5xFAD","B6SJLF1/J","Male","4","dPAL Acquisition 1",1
"131","lw254f316","Site1","5xFAD","B6SJLF1/J","Male","4","dPAL Acquisition 1",1
"132","lw255f317","Site1","5xFAD","B6SJLF1/J","Male","4","dPAL Acquisition 1",1
"133","lw256f318","Site1","5xFAD","B6SJLF1/J","Male","4","dPAL Acquisition 1",1
"134","lw257f319","Site1","5xFAD","B6SJLF1/J","Male","4","dPAL Acquisition 1",1
"135","lw258f320","Site1","5xFAD","B6SJLF1/J","Male","4","dPAL Acquisition 1",1
"136","lw259f321","Site1","5xFAD","B6SJLF1/J","Male","4","dPAL Acquisition 1",1
"137","lw260f322","Site1","5xFAD","B6SJLF1/J","Male","4","dPAL Acquisition 1",1
"138","lw261f323","Site1","5xFAD","B6SJLF1/J","Male","4","dPAL Acquisition 1",1
