"","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Task","Day"
"1","gt80x171","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"2","gt80x172","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"3","gt80x173","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"4","gt81x175","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",6
"5","gt81x176","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"6","gt81x177","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"7","gt81x178","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"8","gt82x179","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"9","gt82x180","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"10","gt82x181","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"11","gt82x182","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"12","gt104f216","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"13","gt104f217","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"14","gt104f218","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"15","gt104f219","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"16","gt105f220","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"17","gt105f221","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"18","gt105f222","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"19","gt105f223","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"20","gt106f224","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"21","gt106f225","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"22","gt106f226","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"23","gt106f227","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"24","gt107f228","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"25","gt107f229","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"26","gt107f230","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"27","gt107f231","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"28","gt157a348","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"29","gt157a349","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"30","gt157a350","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"31","gt157a351","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"32","gt158a352","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"33","gt159a354","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"34","gt159a355","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"35","gt159a356","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"36","gt159a357","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"37","gt160a358","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"38","gt160a359","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"39","gt160a360","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"40","gt160a361","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"41","gt161a362","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"42","gt161a363","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"43","gw77x159","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"44","gw77x160","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"45","gw77x161","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"46","gw78x163","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"47","gw78x164","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"48","gw78x165","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"49","gw78x166","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"50","gw79x167","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"51","gw79x168","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"52","gw79x169","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"53","gw79x170","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"54","gw100f200","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"55","gw100f201","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"56","gw100f202","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"57","gw100f203","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"58","gw101f204","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"59","gw101f205","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"60","gw101f206","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"61","gw101f207","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"62","gw102f208","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"63","gw102f209","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"64","gw102f210","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"65","gw102f211","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"66","gw103f212","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"67","gw103f213","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"68","gw103f214","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"69","gw103f215","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"70","gw152a332","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"71","gw152a334","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"72","gw152a335","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"73","gw153a336","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"74","gw153a337","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"75","gw154a338","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"76","gw154a339","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"77","gw155a343","Site2","APP-PS1","C57BL6","Female","4","Phase I",2
"78","gw155a344","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"79","gw155a345","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"80","gw156a346","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"81","gw156a347","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"82","lt80x142","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"83","lt81x143","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"84","lt82x144","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"85","lt83x145","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"86","lt84x146","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"87","lt85x147","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"88","lt86x148","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"89","lt87x149","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"90","lt88x150","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"91","lt89x151","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"92","lt90x152","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"93","lt91x153","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"94","lt92x154","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"95","lt264f326","Site1","5xFAD","5xFAD","Male","4","Phase I",1
"96","lt265f327","Site1","5xFAD","5xFAD","Male","4","Phase I",1
"97","lt266f328","Site1","5xFAD","5xFAD","Male","4","Phase I",1
"98","lt267f329","Site1","5xFAD","5xFAD","Male","4","Phase I",1
"99","lt268f330","Site1","5xFAD","5xFAD","Male","4","Phase I",1
"100","lt269f331","Site1","5xFAD","5xFAD","Male","4","Phase I",1
