"","Database","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Task","Day"
"1","GUEPD3XTG3MF","gt66x120","Site2","3xTG-AD","3xTG-AD","Female","4","PD Acquisition 1",13
"2","GUEPD3XTG3MF","gt66x121","Site2","3xTG-AD","3xTG-AD","Female","4","PD Acquisition 1",6
"3","GUEPD3XTG3MF","gt66x122","Site2","3xTG-AD","3xTG-AD","Female","4","PD Acquisition 1",10
"4","GUEPD3XTG3MF","gt67x123","Site2","3xTG-AD","3xTG-AD","Female","4","PD Acquisition 1",12
"5","GUEPD3XTG3MF","gt67x124","Site2","3xTG-AD","3xTG-AD","Female","4","PD Acquisition 1",14
"6","GUEPD3XTG3MF","gt67x125","Site2","3xTG-AD","3xTG-AD","Female","4","PD Acquisition 1",9
"7","GUEPD3XTG3MF","gt68x126","Site2","3xTG-AD","3xTG-AD","Female","4","PD Acquisition 1",8
"8","GUEPD3XTG3MF","gt68x127","Site2","3xTG-AD","3xTG-AD","Female","4","PD Acquisition 1",6
"9","GUEPD3XTG3MF","gt68x128","Site2","3xTG-AD","3xTG-AD","Female","4","PD Acquisition 1",8
"10","GUEPD3XTG3MF","gt69x129","Site2","3xTG-AD","3xTG-AD","Female","4","PD Acquisition 1",8
"11","GUEPD3XTG3MF","gt69x130","Site2","3xTG-AD","3xTG-AD","Female","4","PD Acquisition 1",21
"12","GUEPD3XTG3MF","gt69x131","Site2","3xTG-AD","3xTG-AD","Female","4","PD Acquisition 1",14
"13","GUEPD3XTG3MF","gt70x132","Site2","3xTG-AD","3xTG-AD","Female","4","PD Acquisition 1",13
"14","GUEPD3XTG3MF","gt70x133","Site2","3xTG-AD","3xTG-AD","Female","4","PD Acquisition 1",8
"15","GUEPD3XTG3MF","gt70x134","Site2","3xTG-AD","3xTG-AD","Female","4","PD Acquisition 1",19
"16","GUEPD5FAD3MF","gt178f422","Site2","5xFAD","5xFAD","Female","4","PD Acquisition 1",24
"17","GUEPD5FAD3MF","gt178f423","Site2","5xFAD","5xFAD","Female","4","PD Acquisition 1",8
"18","GUEPD5FAD3MF","gt178f424","Site2","5xFAD","5xFAD","Female","4","PD Acquisition 1",13
"19","GUEPD5FAD3MF","gt178f425","Site2","5xFAD","5xFAD","Female","4","PD Acquisition 1",18
