"","Database","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Task","Date","Day","DAY.COUNTING","Max.number.of.trials","Ma.hedule.time","Condition","Tri.Completed","No.Correction.Trials","..Correct","Correct.touch.latency..1","Correct.touch.latency.2","Correct.touch.latency.3","Correct.touch.latency.4","Correct.touch.latency.5","Correct.touch.latency.6","Correct.touch.latency.7","Correct.touch.latency.8","Correct.touch.latency.9","Correct.touch.latency.10","Correct.touch.latency..11","Correct.touch.latency..12","Correct.touch.latency..13","Correct.touch.latency..14","Correct.touch.latency..15","Correct.touch.latency..16","Correct.touch.latency..17","Correct.touch.latency..18","Correct.touch.latency..19","Correct.touch.latency..20","Correct.touch.latency..21","Correct.touch.latency..22","Correct.touch.latency..23","Correct.touch.latency..24","Correct.touch.latency..25","Correct.touch.latency..26","Correct.touch.latency..27","Correct.touch.latency..28","Correct.touch.latency..29","Correct.touch.latency..30","Mean.Correct.touch.latenc31","std.Correct.touch.latenc32","Correct.Reward.Collection..1","Correct.Reward.Collection.2","Correct.Reward.Collection.3","Correct.Reward.Collection.4","Correct.Reward.Collection.5","Correct.Reward.Collection.6","Correct.Reward.Collection.7","Correct.Reward.Collection.8","Correct.Reward.Collection.9","Correct.Reward.Collection.10","Correct.Reward.Collection..11","Correct.Reward.Collection..12","Correct.Reward.Collection..13","Correct.Reward.Collection..14","Correct.Reward.Collection..15","Correct.Reward.Collection..16","Correct.Reward.Collection..17","Correct.Reward.Collection..18","Correct.Reward.Collection..19","Correct.Reward.Collection..20","Correct.Reward.Collection..21","Correct.Reward.Collection..22","Correct.Reward.Collection..23","Correct.Reward.Collection..24","Correct.Reward.Collection..25","Correct.Reward.Collection..26","Correct.Reward.Collection..27","Correct.Reward.Collection..28","Correct.Reward.Collection..29","Correct.Reward.Collection..30","Mean.Correct.Reward.Collectio31","std.Correct.Reward.Collectio32"
"5990","LONPDAPP4MM","lw153a215","Site1","APP-PS1","C57BL6","Male","4","PD Baseline 1",2015-09-11,"1","1",30,3600,871.659,30,3,90,6.652,1.483,3.001,1.35,1.289,1.245,1.252,1.601,1.502,1.929,1.405,1.555,2.828,1.945,1.452,1.497,1.549,1.879,1.676,1.532,2.352,1.724,2.014,1.747,3.131,1.133,4.239,1.336,1.254,7.803,1.72818518518519,0.532512118824686,0.945,1.022,1.008,0.945,1.101,1.294,1.001,1.162,1.099,1.137,1.004,1.726,0.968,1.045,1.231,1.111,1.105,1.097,0.931,1.233,1.453,1.264,1.315,1.127,2.052,1.752,0.961,1.056,1.325,0.901,1.14893103448276,0.212633979785936
"358","LONPDAPP4MM","lw153a215","Site1","APP-PS1","C57BL6","Male","4","PD Baseline 1",2015-09-14,"2","1",30,3600,1008.598,30,8,80,2.378,3.675,1.251,2.885,1.421,2.071,1.581,1.23,1.216,1.227,1.347,2.254,2.834,1.402,1.046,3.236,1.202,2.529,2.459,1.259,1.435,1.28,1.183,1.341,1.45,2.889,1.687,1.26,2.025,2.188,1.84136666666667,0.724706479624127,1.028,1.017,0.842,0.963,1.142,0.911,1.018,0.891,0.876,0.999,0.993,0.845,0.928,1.103,1.128,0.953,1.329,0.97,0.907,0.993,1.192,0.961,1.022,1.032,1.264,1.426,1.097,0.862,0.901,0.988,1.01936666666667,0.141126376071195
"5221","LONPDAPP4MM","lw220a282","Site1","APP-PS1","C57BL6","Male","4","PD Baseline 1",2015-10-20,"1","1",30,3600,1014.218,30,6,80,1.352,1.725,1.396,2.013,1.561,1.791,2.085,1.001,1.767,3.765,4.931,0.945,1.583,0.914,1.637,1.473,1.798,5.483,1.154,1.006,1.187,1.226,1.058,2.338,2.153,3.007,1.238,1.305,0.771,1.608,1.60203571428571,0.652186889946424,1.058,0.954,0.824,0.795,0.9,0.981,0.87,0.901,0.929,0.86,0.89,0.853,0.858,0.772,0.83,0.988,0.853,1.006,1.092,0.888,0.88,0.839,1.325,0.904,1.036,1.033,0.892,1.134,0.786,0.887,0.927266666666667,0.118141625510067
"108","LONPDAPP4MM","lw220a282","Site1","APP-PS1","C57BL6","Male","4","PD Baseline 1",2015-10-21,"2","1",30,3600,948.673,30,5,86.667,1.541,1.151,3.228,2.37,1.613,1.23,1.2,1.806,1.551,1.421,2.124,3.841,1.53,1.173,2.503,0.78,2.462,1.277,2.452,2.436,0.91,3.107,1.487,3.645,2.749,1.122,0.771,1.365,1.602,NA,1.87748275862069,0.846555526011549,1.022,0.936,0.812,0.999,0.87,0.915,0.843,0.923,0.913,0.846,0.893,0.791,0.895,0.717,0.831,0.797,0.873,0.87,0.869,0.941,0.804,0.992,0.686,0.909,0.794,0.96,0.842,0.903,0.82,NA,0.871241379310345,0.0781434830352903
"5991","LONPDAPP4MM","lw157a219","Site1","APP-PS1","C57BL6","Male","4","PD Baseline 1",2015-08-08,"1","1",30,3600,1209.762,30,3,90,3.995,2.557,3.094,2.611,2.27,2.216,3.514,3.715,1.781,8.421,1.767,1.795,1.851,4.27,2.614,4.125,2.867,10.702,2.058,3.993,3.819,4.454,7.132,4.695,1.295,2.556,3.785,7.598,4.507,3.9,3.56051724137931,1.74147828460867,2.489,0.946,0.991,3.849,0.933,1.13,0.865,0.99,1.132,0.83,0.827,0.772,1.031,0.851,0.929,0.992,0.942,3.549,0.905,0.876,1.109,0.92,0.79,0.921,0.963,1.138,0.993,0.961,0.794,0.878,0.941074074074074,0.103988507473709
"216","LONPDAPP4MM","lw157a219","Site1","APP-PS1","C57BL6","Male","4","PD Baseline 1",2015-08-09,"2","1",30,3600,1066.527,30,1,93.333,8.675,3.082,2.589,7.1,3.039,1.4,2.418,2.649,4.939,2.135,2.486,6.996,5.726,1.295,1.611,1.119,3.534,3.341,1.303,5.387,1.294,1.075,1.141,4.007,2.624,2.082,1.359,4.384,2.097,NA,3.13403448275862,2.02407224748876,1.304,1.036,0.795,0.991,0.944,0.846,0.74,0.946,0.892,0.901,0.886,0.91,0.802,0.93,0.954,1.77,1.003,0.816,0.944,0.738,0.834,1.044,0.869,0.711,0.868,0.841,1.272,0.898,0.799,NA,0.911214285714286,0.136701718308
"242","LONPDAPP4MM","lw158a220","Site1","APP-PS1","C57BL6","Male","4","PD Baseline 1",2015-08-18,"2","1",30,3600,1189.587,30,8,76.667,6.726,7.919,3.41,2.36,2.359,0.956,1.313,0.738,1.485,1.295,0.962,3.95,0.918,0.991,0.767,0.988,1.654,0.82,1.112,0.977,1.099,0.773,2.264,1.738,4.749,0.783,1.607,1.449,0.728,1.859,1.57514285714286,1.01213608784464,0.823,0.834,1.051,1.021,0.991,1.632,1.421,0.911,0.799,0.805,1.061,0.864,1.337,0.884,0.874,0.802,0.749,1.109,0.782,0.744,0.909,0.753,0.945,0.76,1.63,0.826,0.95,0.854,0.791,0.845,0.958566666666667,0.24314004526033
"205","LONPDAPP4MM","lw158a220","Site1","APP-PS1","C57BL6","Male","4","PD Baseline 1",2015-08-17,"1","1",30,3600,918.519,30,3,93.333,2.666,5.56,0.582,1.36,1.145,0.887,1.303,1.466,0.961,0.663,0.758,1.429,2.891,2.927,0.628,1.164,1.455,1.445,0.816,1.456,5.859,1.407,3.337,2.921,1.026,1.261,2.691,0.687,1.399,1.198,1.77826666666667,1.32165371679818,0.868,0.89,0.849,0.985,0.866,0.814,0.784,0.978,1.202,1.677,1.117,0.929,0.909,0.863,0.873,0.715,0.907,0.786,0.824,0.817,1.401,0.845,0.967,1.326,0.8,0.772,1.012,0.856,0.726,0.752,0.91148275862069,0.165777523181275
"5744","LONPDAPP4MM","lw219a281","Site1","APP-PS1","C57BL6","Male","4","PD Baseline 1",2015-10-16,"2","1",30,3600,948.21,30,4,86.667,2.432,2.092,4.175,1.753,2.089,1.565,1.897,2.484,1.728,0.944,1.95,1.498,2.272,1.778,1.64,1.448,2.421,2.611,3.067,1.832,3.564,3.389,3.331,0.976,1.748,2.386,2.359,1.685,1.592,0.927,2.1211,0.780388954746065,0.895,0.765,0.808,0.884,0.964,0.87,1.186,0.871,0.864,0.878,0.853,0.874,0.757,0.954,1,0.775,0.749,1.02,0.79,0.786,0.967,1.162,0.836,1.023,1.704,0.926,0.947,0.979,0.862,0.91,0.901896551724138,0.109132732037508
"276","LONPDAPP4MM","lw219a281","Site1","APP-PS1","C57BL6","Male","4","PD Baseline 1",2015-10-15,"1","1",30,3600,911.885,30,4,86.667,7.09,5.835,2.026,3.092,1.748,1.732,1.918,1.734,1.144,2.495,1.416,1.462,1.435,2.492,1.1,1.755,2.283,3.701,3.181,2.138,1.62,1.275,1.111,1.814,1.309,1.978,2,1.251,1.269,2.368,1.88739285714286,0.657758840152637,0.899,0.9,1.014,1.086,0.867,0.986,0.873,0.857,1.861,0.817,0.868,1.079,0.93,1.67,0.895,1.004,1.287,0.822,0.88,0.907,0.866,0.947,0.947,0.967,0.865,0.857,0.828,0.798,0.808,0.864,0.9185,0.104625434199727
