 Animal ID, Site, Mouse strain, Genotype, Gender,SessionType
 gt01f001, UOG, 5FAD, t,F,4
 gt01f001, UOG, 5FAD, t,F,4
 gt01f001, UOG, 5FAD, t,F,4
 gt01f001, UOG, 5FAD, t,F,4
 gt01f001, UOG, 5FAD, t,F,4
 gt01f001, UOG, 5FAD, t,F,4
 gt01f001, UOG, 5FAD, t,F,4
 gt01f001, UOG, 5FAD, t,F,4
 gt01f002, UOG, 5FAD, t,F,4
 gt01f002, UOG, 5FAD, t,F,4
 gt01f002, UOG, 5FAD, t,F,4
 gt01f002, UOG, 5FAD, t,F,4
 gt01f002, UOG, 5FAD, t,F,4
 gt01f002, UOG, 5FAD, t,F,4
 gt01f002, UOG, 5FAD, t,F,4
 gt01f002, UOG, 5FAD, t,F,4
 gt01f002, UOG, 5FAD, t,F,4
 gt01x001, UOG, 3XTG, t,F,4
 gt01x001, UOG, 3XTG, t,F,4
 gt01x001, UOG, 3XTG, t,F,4
 gt01x001, UOG, 3XTG, t,F,4
 gt01x001, UOG, 3XTG, t,F,4
 gt01x001, UOG, 3XTG, t,F,4
 gt01x001, UOG, 3XTG, t,F,4
 gt01x001, UOG, 3XTG, t,F,4
 gt01x001, UOG, 3XTG, t,F,4
 gt01x001, UOG, 3XTG, t,F,4
 gt01x001, UOG, 3XTG, t,F,4
 gt01x001, UOG, 3XTG, t,F,4
 gt01x001, UOG, 3XTG, t,F,4
 gt01x001, UOG, 3XTG, t,F,4
 gt01x001, UOG, 3XTG, t,F,4
 gt01x001, UOG, 3XTG, t,F,4
 gt01x001, UOG, 3XTG, t,F,4
 gt01x001, UOG, 3XTG, t,M,4
 gt02f003, UOG, 5FAD, t,F,4
 gt02f003, UOG, 5FAD, t,F,4
 gt02f003, UOG, 5FAD, t,F,4
 gt02f003, UOG, 5FAD, t,F,4
 gt02x003, UOG, 3XTG, t,F,4
 gt02x003, UOG, 3XTG, t,F,4
 gt02x003, UOG, 3XTG, t,F,4
 gt02x003, UOG, 3XTG, t,F,4
 gt02x003, UOG, 3XTG, t,F,4
 gt02x003, UOG, 3XTG, t,F,4
 gt02x003, UOG, 3XTG, t,F,4
 gt02x003, UOG, 3XTG, t,F,4
 gt02x003, UOG, 3XTG, t,F,4
 gt02x004, UOG, 3XTG, t,F,4
 gt02x004, UOG, 3XTG, t,F,4
 gt02x004, UOG, 3XTG, t,F,4
 gt02x004, UOG, 3XTG, t,M,4
 gt03f005, UOG, 5FAD, t,F,4
 gt03f005, UOG, 5FAD, t,F,4
 gt03f005, UOG, 5FAD, t,F,4
 gt03x005, UOG, 3XTG, t,F,4
 gt03x005, UOG, 3XTG, t,F,4
 gt03x005, UOG, 3XTG, t,F,4
 gt03x005, UOG, 3XTG, t,F,4
 gt03x005, UOG, 3XTG, t,F,4
 gt03x005, UOG, 3XTG, t,F,4
 gt03x006, UOG, 3XTG, t,F,4
 gt03x006, UOG, 3XTG, t,F,4
 gt03x006, UOG, 3XTG, t,F,4
 gt03x006, UOG, 3XTG, t,F,4
 gt03x006, UOG, 3XTG, t,F,4
 gt03x006, UOG, 3XTG, t,F,4
 gt04f007, UOG, 5FAD, t,F,4
 gt04f007, UOG, 5FAD, t,F,4
 gt04f007, UOG, 5FAD, t,F,4
 gt04f007, UOG, 5FAD, t,F,4
 gt04f007, UOG, 5FAD, t,F,4
 gt04f007, UOG, 5FAD, t,F,4
 gt04f007, UOG, 5FAD, t,F,4
 gt04f007, UOG, 5FAD, t,F,4
 gt04f007, UOG, 5FAD, t,F,4
 gt04f007, UOG, 5FAD, t,F,4
 gt04f007, UOG, 5FAD, t,F,4
 gt04x007, UOG, 3XTG, t,F,4
 gt04x007, UOG, 3XTG, t,F,4
 gt04x007, UOG, 3XTG, t,F,4
 gt04x007, UOG, 3XTG, t,F,4
 gt04x007, UOG, 3XTG, t,F,4
 gt04x007, UOG, 3XTG, t,F,4
 gt04x007, UOG, 3XTG, t,F,4
 gt04x007, UOG, 3XTG, t,M,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt04x008, UOG, 3XTG, t,F,4
 gt05f008, UOG, 5FAD, t,F,4
 gt05f008, UOG, 5FAD, t,F,4
 gt05f008, UOG, 5FAD, t,F,4
 gt05f008, UOG, 5FAD, t,F,4
 gt05f008, UOG, 5FAD, t,F,4
 gt05f008, UOG, 5FAD, t,F,4
 gt05f008, UOG, 5FAD, t,F,4
 gt05f009, UOG, 5FAD, t,F,4
 gt05f009, UOG, 5FAD, t,F,4
 gt05f009, UOG, 5FAD, t,F,4
 gt05f009, UOG, 5FAD, t,F,4
 gt05x009, UOG, 3XTG, t,F,4
 gt05x009, UOG, 3XTG, t,F,4
 gt05x009, UOG, 3XTG, t,F,4
 gt05x009, UOG, 3XTG, t,F,4
 gt05x009, UOG, 3XTG, t,F,4
 gt05x009, UOG, 3XTG, t,F,4
 gt05x009, UOG, 3XTG, t,F,4
 gt05x009, UOG, 3XTG, t,F,4
 gt05x009, UOG, 3XTG, t,F,4
 gt05x009, UOG, 3XTG, t,M,4
 gt05x010, UOG, 3XTG, t,F,4
 gt05x010, UOG, 3XTG, t,F,4
 gt05x010, UOG, 3XTG, t,F,4
 gt05x010, UOG, 3XTG, t,F,4
 gt05x010, UOG, 3XTG, t,F,4
 gt05x010, UOG, 3XTG, t,F,4
 gt05x010, UOG, 3XTG, t,F,4
 gt05x010, UOG, 3XTG, t,F,4
 gt05x010, UOG, 3XTG, t,F,4
 gt05x010, UOG, 3XTG, t,F,4
 gt05x010, UOG, 3XTG, t,F,4
