 Animal ID, Site, Mouse strain, Genotype, Gender, Age (months), Schedule name
gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Habituation_2_
gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Habituation_2_
gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Habituation_2_
gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Initial_Touch_Training_v3
gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Must_Touch_Training_v2
gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Must_Initiate_Training_v1
gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01f002,UOG,5xFAD,t,F,4,5CSRTT_Habituation_1_
gt01f002,UOG,5xFAD,t,F,4,5CSRTT_Habituation_2_
gt01f002,UOG,5xFAD,t,F,4,5CSRTT_Habituation_2_
gt01f002,UOG,5xFAD,t,F,4,5CSRTT_Habituation_2_
gt01f002,UOG,5xFAD,t,F,4,5CSRTT_Initial_Touch_Training_v3
gt01f002,UOG,5xFAD,t,F,4,5CSRTT_Must_Touch_Training_v2
gt01f002,UOG,5xFAD,t,F,4,5CSRTT_Must_Initiate_Training_v1
gt01f002,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01f002,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01f002,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01f002,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01f002,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01f002,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01x001,UOG,3xTG,t,F,4,5CSRTT_Habituation_1_
gt01x001,UOG,3xTG,t,F,4,5CSRTT_Habituation_2_
gt01x001,UOG,3xTG,t,F,4,5CSRTT_Habituation_2_
gt01x001,UOG,3xTG,t,F,4,5CSRTT_Habituation_2_
gt01x001,UOG,3xTG,t,F,4,5CSRTT_Initial_Touch_Training_v3
gt01x001,UOG,3xTG,t,F,4,5CSRTT_Must_Touch_Training_v2
gt01x001,UOG,3xTG,t,F,4,5CSRTT_Must_Initiate_Training_v1
gt01x001,UOG,3xTG,t,F,4,5CSRTT_Must_Initiate_Training_v1
gt01x001,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01x001,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01x001,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Habituation_1_
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Habituation_2_
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Habituation_2_
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Habituation_2_
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Initial_Touch_Training_v3
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Must_Touch_Training_v2
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Must_Touch_Training_v2
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Must_Touch_Training_v2
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Must_Touch_Training_v2
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Must_Initiate_Training_v1
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Must_Initiate_Training_v1
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Must_Initiate_Training_v1
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Must_Initiate_Training_v1
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt01x002,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt02f003,UOG,5xFAD,t,F,4,5CSRTT_Habituation_1_
gt02f003,UOG,5xFAD,t,F,4,5CSRTT_Habituation_2_
gt02f003,UOG,5xFAD,t,F,4,5CSRTT_Habituation_2_
gt02f003,UOG,5xFAD,t,F,4,5CSRTT_Habituation_2_
gt02f003,UOG,5xFAD,t,F,4,5CSRTT_Habituation_2_
gt02f003,UOG,5xFAD,t,F,4,5CSRTT_Initial_Touch_Training_v3
gt02f003,UOG,5xFAD,t,F,4,5CSRTT_Must_Touch_Training_v2
gt02f003,UOG,5xFAD,t,F,4,5CSRTT_Must_Initiate_Training_v1
gt02f003,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt02f003,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt02x003,UOG,3xTG,t,F,4,5CSRTT_Habituation_1_
gt02x003,UOG,3xTG,t,F,4,5CSRTT_Habituation_2_
gt02x003,UOG,3xTG,t,F,4,5CSRTT_Habituation_2_
gt02x003,UOG,3xTG,t,F,4,5CSRTT_Habituation_2_
gt02x003,UOG,3xTG,t,F,4,5CSRTT_Initial_Touch_Training_v3
gt02x003,UOG,3xTG,t,F,4,5CSRTT_Must_Touch_Training_v2
gt02x003,UOG,3xTG,t,F,4,5CSRTT_Must_Touch_Training_v2
gt02x003,UOG,3xTG,t,F,4,5CSRTT_Must_Touch_Training_v2
gt02x003,UOG,3xTG,t,F,4,5CSRTT_Must_Initiate_Training_v1
gt02x003,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt02x003,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt02x003,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt02x003,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt02x003,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt02x003,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt02x003,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt02x003,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt02x003,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt02x003,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt02x003,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt02x003,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
gt02x003,UOG,3xTG,t,F,4,5CSRTT_Punish_Incorrect_Training_v3
