 Database, Animal ID, Site, Mouse strain,Genotype, Gender, Age (months),Schedule name, Schedule run date, Day, Max number of trials, Max schedule time, End Summary - Condition, End Summary - Trials Completed, End Summary - No Correction Trials, End Summary - % Correct, Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Mean Correct touch latency (s), std Correct touch latency (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Mean Correct Reward Collection (s), std Correct Reward Collection (s) 
 GUEPD3XTG3MF, gw61x105, UOG, 3XTG, w, F,4, PD_Reversal_1_v3,20150108,1,30,3600,3600,1,21,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1
 LONPD3XTG3MM, lw54x108, UWO, 3XTG, w, M,4, PD_Reversal_1_v3,20141017,3,30,3600,3600,1,63,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1
 LONPD3XTG7MM, lw53x105, UWO, 3XTG, w, M,7, PD_Reversal_2_v3,20150108,1,30,3600,3600,1,33,0,4.291, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.291,0,1.809, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.809,0
 LONPD3XTG3MM, lw49x098, UWO, 3XTG, w, M,4, PD_Reversal_1_v3,20141021,2,30,3600,3600,2,8,0,11.792, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , nan, nan,92.296, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , nan, nan
 LONPD3XTG3MM, lw49x098, UWO, 3XTG, w, M,4, PD_Reversal_1_v3,20141030,8,30,3600,3600,2,4,0,7.717, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.717,0,2.34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.34,0
 LONPD3XTG3MM, lw53x105, UWO, 3XTG, w, M,4, PD_Reversal_1_v3,20141031,1,30,3600,3600,2,21,0,18.571, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , nan, nan,2.861, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.861,0
 LONPD3XTG3MM, lw53x105, UWO, 3XTG, w, M,4, PD_Reversal_1_v3,20141105,5,30,3600,3600,2,10,0,96.946, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , nan, nan,1.464, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.464,0
 LONPDAPP7MM, lt378a440, UWO, APPPS1, t, M,7, PD_Reversal_2_v3,20160822,5,30,3600,3600,2,16,0,7.536, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.536,0,66.73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , nan, nan
 GUEPD3XTG7MF, gw63x113, UOG, 3XTG, w, F,7, PD_Reversal_2_v3,20150428,1,30,3600,3600,3,95,0,3.335,3.137, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.236,0.099,1.534,2.924, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.229,0.695
 LONPD3XTG3MM, lw49x098, UWO, 3XTG, w, M,4, PD_Reversal_1_v3,20141024,4,30,3600,3600,3,11,0,20.342,178.27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , nan, nan,1.28,2.505, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.893,0.612
 LONPD3XTG3MM, lw54x108, UWO, 3XTG, w, M,4, PD_Reversal_1_v3,20141014,1,30,3600,3600,3,85,0,1.297,1.226, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.261,0.035,1.312,1.207, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.26,0.052
 LONPD3XTG4MM2, lw474x474, UWO, 3XTG, w,M,4, PD_Reversal_2_v3,20160527,3,30,3600,3600,3,52,0,10.245,3.099, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.099,0,1.41,1.032, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.221,0.189
 LONPD3XTG7MM, lt57x113, UWO, 3XTG, t, M,7, PD_Reversal_2_v3,20150107,1,30,3600,3600,4,78,0,8.886,8.509,2.838, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.674,2.836,2.821,1.689,1.17, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.893,0.689
 LONPD3XTG7MM, lw49x098, UWO, 3XTG, w, M,7, PD_Reversal_2_v3,20150120,2,30,3600,3600,4,30,0,5.72,11.56,4.117, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.918,0.801,1.438,1.006,1.01, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.151,0.203
 LONPDAPP10MM, lw379a441, UWO, APPPS1, w, M,10, PD_Reversal_3_v3,20161109,5,30,3600,3600,4,9,0,9.147,3.497,9.559, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.497,0,2.165,1.342,1.172, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.56,0.434
